observed_at,year,sensor,source_product,boundary_geojson_url,available,usable,observation_state,lake_area_km2,aoi_valid_fraction,lake_envelope_valid_fraction,cloud_shadow_metrics,method,method_version,rejection_reasons,quality_flags,geometry_version
1995-11-26T03:41:58.085000Z,1995,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19951126,,True,False,rejected,,0.044190992962549205,0.0010246713393088215,11,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
1995-12-12T03:42:59.507000Z,1995,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19951212,,True,False,rejected,,0.12731714994491367,0.009966777408637866,5,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
1996-10-11T04:01:15.837000Z,1996,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19961011,data/archive/scenes/landsat/LANDSAT_LT05_C02_T1_L2_LT05_140041_19961011.geojson,True,False,rejected,0.403245,0.19440331562104096,0.301448800764806,26,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY,LOW_LAKE_ENVELOPE_OBSERVABILITY,imja-expanded-aoi-v2-2026-08-28
1996-10-27T04:02:03.942000Z,1996,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19961027,,True,False,rejected,,0.0,0.0,28,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
1996-11-28T04:03:34.675000Z,1996,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19961128,data/archive/scenes/landsat/LANDSAT_LT05_C02_T1_L2_LT05_140041_19961128.geojson,True,False,rejected,0.470903,0.2911475016675523,0.3205795203059223,9,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY,LOW_LAKE_ENVELOPE_OBSERVABILITY,imja-expanded-aoi-v2-2026-08-28
1996-12-14T04:04:20.258000Z,1996,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19961214,,True,False,rejected,,0.25178784222320366,0.17479625413961933,7,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
1997-10-14T04:15:22.702000Z,1997,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19971014,,True,False,rejected,,0.1385093195632129,0.010774894495824722,35,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
1997-10-30T04:15:49.575000Z,1997,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19971030,,True,False,rejected,,0.0,0.0,92,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
1997-11-15T04:16:11.919000Z,1997,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19971115,data/archive/scenes/landsat/LANDSAT_LT05_C02_T1_L2_LT05_140041_19971115.geojson,True,False,rejected,0.079386,0.040859183535812894,0.06666965969291547,14,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY,LOW_LAKE_ENVELOPE_OBSERVABILITY,imja-expanded-aoi-v2-2026-08-28
1998-10-17T04:20:59.557000Z,1998,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19981017,data/archive/scenes/landsat/LANDSAT_LT05_C02_T1_L2_LT05_140041_19981017.geojson,True,False,rejected,0.056833,0.16786575631983988,0.05640974177225883,22,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY,LOW_LAKE_ENVELOPE_OBSERVABILITY,imja-expanded-aoi-v2-2026-08-28
1998-11-02T04:21:03.671000Z,1998,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19981102,data/archive/scenes/landsat/LANDSAT_LT05_C02_T1_L2_LT05_140041_19981102.geojson,True,False,rejected,0.19215,0.10620449827248908,0.14129372679304275,4,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY,LOW_LAKE_ENVELOPE_OBSERVABILITY,imja-expanded-aoi-v2-2026-08-28
1998-12-04T04:21:07.097000Z,1998,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19981204,,True,False,rejected,,0.11008731235338601,0.020144827258370336,7,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
1999-10-04T04:18:44.817000Z,1999,TM,LANDSAT/LT05/C02/T1_L2/LT05_140041_19991004,,True,False,rejected,,0.0,0.0,87,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
1999-10-12T04:35:11.134000Z,1999,ETM+,LANDSAT/LE07/C02/T1_L2/LE07_140041_19991012,,True,False,rejected,,0.0,0.0,67,landsat_c2_l2_ndwi_connected_component,0.2.0-archive,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,LOW_LAKE_ENVELOPE_OBSERVABILITY;NO_LAKE_COMPONENT_AT_SEED,imja-expanded-aoi-v2-2026-08-28
